timestamp,total_pnl,total_equity,buying_power
2025-07-31T23:26:01.202Z,-10.86,98623.89,184175.10
2025-07-31T23:27:08.504Z,-12.23,98617.59,180225.58
2025-07-31T23:31:51.403Z,-24.69,98605.04,180153.64
2025-07-31T23:32:28.558Z,-24.69,98605.04,180153.64
2025-07-31T23:38:34.940Z,2.93,98561.03,189142.24
2025-07-31T23:43:34.881Z,3.19,98556.28,185123.64
2025-07-31T23:45:03.640Z,6.54,98554.61,181108.24
2025-07-31T23:50:02.375Z,1.74,98549.81,181108.24
2025-07-31T23:50:59.221Z,1.74,98549.81,181108.24
2025-07-31T23:51:24.960Z,1.74,98549.81,181108.24
2025-07-31T23:56:24.217Z,-6.47,98520.43,185247.40
2025-07-31T23:57:18.142Z,-6.47,98520.43,185247.40
2025-07-31T23:59:08.415Z,-6.47,98520.43,185247.40
2025-07-31T23:59:36.102Z,-6.52,98520.38,185247.40
2025-08-01T00:04:35.467Z,-0.63,98526.28,185247.40
2025-08-01T00:07:50.219Z,-1.88,98525.02,185247.40
2025-08-01T00:08:23.462Z,-1.88,98525.02,185247.40
2025-08-01T00:13:09.140Z,-0.41,98526.49,185247.40
2025-08-01T00:14:13.009Z,-15.71,98511.19,185247.40
2025-08-01T00:14:29.086Z,-15.71,98511.19,185247.40
2025-08-01T00:19:04.578Z,-9.88,98517.02,185247.40
2025-08-01T00:19:35.582Z,-9.88,98517.02,185247.40
